rank,stadium,capacity,region,country,city,images,home_team,latitude,longitude
1,Rungrado 1st of May Stadium,113281,East Asia,North Korea,Pyongyang,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Interior_of_the_Rungrado_1st_of_May_Stadium_1.jpg/250px-Interior_of_the_Rungrado_1st_of_May_Stadium_1.jpg,"Korea DPR national football team, Korea DPR women's national football team, April 25",39.0167979,125.7473609
2,Camp Nou,99354,Europe,Spain,"Barcelona, Catalonia",https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Barcelona_309.JPG/250px-Barcelona_309.JPG,FC Barcelona,41.3825802,2.177073
3,FNB Stadium,94736,Africa,South Africa,"Johannesburg, Gauteng",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/First_game_of_the_2010_FIFA_World_Cup%2C_South_Africa_vs_Mexico.jpg/250px-First_game_of_the_2010_FIFA_World_Cup%2C_South_Africa_vs_Mexico.jpg,"South Africa national football team, Kaizer Chiefs",-26.205,28.049722
4,New Admin­is­trative Capital Stadium,93940,Africa,Egypt,New Administrative Capital,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/New_Administrative_Capital_Stadium.jpg/250px-New_Administrative_Capital_Stadium.jpg,Egypt national football team,30.023829,31.7549459
5,Cotton Bowl Stadium,92100,North America,United States,"Dallas, Texas",https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/2019_State_Fair_Classic_01_%28Cotton_Bowl%29.jpg/250px-2019_State_Fair_Classic_01_%28Cotton_Bowl%29.jpg,"Atlético Dallas, Dallas Trinity FC",32.7762719,-96.7968559
6,Wembley Stadium,90000,Europe,England,"London, England",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Post_L2_Play-Off_Final.jpg/250px-Post_L2_Play-Off_Final.jpg,England national football team,51.5074456,-0.1277653
7,Lusail Stadium,88966,West Asia,Qatar,Lusail,https://upload.wikimedia.org/wikipedia/en/thumb/a/a3/Lusail_Stadium.jpg/250px-Lusail_Stadium.jpg,Qatar national football team,25.4228888,51.5197163
8,Estadio Azteca,87523,North America,Mexico,Mexico City,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Panor%C3%A1mica_esquina_noreste.jpg/250px-Panor%C3%A1mica_esquina_noreste.jpg,"Club América, Mexico national football team",19.3207722,-99.1514678
9,Bukit Jalil National Stadium,87411,Southeast Asia,Malaysia,Kuala Lumpur,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/National_Stadium_Bukit_Jalil_2018_AFF_Suzuki_Cup_final.png/250px-National_Stadium_Bukit_Jalil_2018_AFF_Suzuki_Cup_final.png,Malaysia national football team,3.1516964,101.6942371
10,Borg El-Arab Stadium,86000,Africa,Egypt,Alexandria,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Borg_el_arab_stadium.jpg/250px-Borg_el_arab_stadium.jpg,"Egypt national football team, Al Ittihad, Smouha",31.1991806,29.8951716
11,Estadio Mâs Monumental,85018,South America,Argentina,Buenos Aires,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Estadio_mas_monumental.jpg/250px-Estadio_mas_monumental.jpg,"Argentina national football team, River Plate",-34.6095579,-58.3887904
12,Salt Lake Stadium,85000,South Asia,India,Kolkata,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Salt_Lake_Stadium_during_FIFA_U17_World_Cup_2017_....jpg/250px-Salt_Lake_Stadium_during_FIFA_U17_World_Cup_2017_....jpg,"India national football team, Mohun Bagan Super Giant, East Bengal FC, Mohammedan SC, Atlético de Kolkata",22.5726459,88.3638953
13,Stadium Australia,83500,Oceania,Australia,"Sydney, New South Wales",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/State_of_Origin_Game_II_2018.jpg/250px-State_of_Origin_Game_II_2018.jpg,"South Sydney Rabbitohs, Canterbury-Bankstown Bulldogs, New South Wales Blues, New South Wales Waratahs, Australia men's national soccer team, Australia national rugby union team",-33.8698439,151.2082848
14,Estadio Santiago Bernabéu,83186,Europe,Spain,Madrid,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Estadio_Santiago_Bernab%C3%A9u_Madrid.jpg/250px-Estadio_Santiago_Bernab%C3%A9u_Madrid.jpg,Real Madrid,40.416782,-3.703507
15,Croke Park,82300,Europe,Ireland,Dublin,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Croke_park_all_ireland.jpg/250px-Croke_park_all_ireland.jpg,"Gaelic Athletic Association, Dublin GAA",53.3493795,-6.2605593
16,Jakarta International Stadium,82000,Southeast Asia,Indonesia,Jakarta,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Jakarta_International_Stadium_interior.jpg/250px-Jakarta_International_Stadium_interior.jpg,"Persija Jakarta, Indonesia national football team",-6.1754049,106.827168
17,Signal Iduna Park,81365,Europe,Germany,Dortmund,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Signal_iduna_park.jpg/250px-Signal_iduna_park.jpg,Borussia Dortmund,51.5142273,7.4652789
18,Stade de France,81338,Europe,France,Saint-Denis,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/StadeFranceNationsLeague2018.jpg/250px-StadeFranceNationsLeague2018.jpg,France national football team,48.9383732,2.3627508
19,Grand Sports Arena of the Luzhniki Olympic Complex,81000,Europe,Russia,Moscow,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Luzhniki_Stadium2.jpg/250px-Luzhniki_Stadium2.jpg,,55.625578,37.6063916
20,Shah Alam Stadium,80372,Southeast Asia,Malaysia,"Shah Alam, Selangor",https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Shah_Alam_Stadium_%28inside%29.jpg/250px-Shah_Alam_Stadium_%28inside%29.jpg,Selangor FA,3.0739429,101.5185278
21,Estadio Monumental,80093,South America,Peru,Lima,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Estadio_Monumental_U_vs_SF.jpg/250px-Estadio_Monumental_U_vs_SF.jpg,Club Universitario de Deportes,-12.0459808,-77.0305912
22,Stadio Giuseppe Meazza,80018,Europe,Italy,"Milan, Lombardy",https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/San_Siro_237.jpg/250px-San_Siro_237.jpg,AC Milan and Internazionale,45.4641943,9.1896346
23,Guangdong Olympic Stadium,80012,East Asia,China,"Guangzhou, Guangdong",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Stade_Olympique_Guangdong.JPG/250px-Stade_Olympique_Guangdong.JPG,,23.1288454,113.2590064
24,Hangzhou Olympic Sports Expo Centre Stadium,80000,East Asia,China,"Hangzhou, Zhejiang",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Hangzhou_Olympic_Sports_Center_Stadium2021.jpg/250px-Hangzhou_Olympic_Sports_Center_Stadium2021.jpg,,30.2489634,120.2052342
25,Stade des Martyrs,80000,Africa,DR Congo,Kinshasa,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Stade_des_martyrs_0332_Kinshasa_%288756673901%29.jpg/250px-Stade_des_martyrs_0332_Kinshasa_%288756673901%29.jpg,Congo DR national football team,-4.3196982,15.3424196
26,Beijing National Stadium,80000,East Asia,China,Beijing,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Beijing_National_Stadium_2014_2.jpg/250px-Beijing_National_Stadium_2014_2.jpg,,39.9057136,116.3912972
